line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__tpi_not_test_en->__tpi_cp_66_N77221 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_66_N77221,__tpi_cp_66_N77221,1,undetected,__tpi_cp_66_N77221,__tpi_cp_66_N77221,__tpi_cp_66_N77221,sa1,1
2,__tpi_cp_66_N77221 /1 undetected,output,,__tpi_cp_66_N77221,__tpi_cp_66_N77221,1,undetected,__tpi_cp_66_N77221,__tpi_cp_66_N77221,__tpi_cp_66_N77221,sa1,1
3,N77221 /1 undetected,output,,N77221,N77221,1,undetected,N77221,N77221,N77221,sa1,1
4,N10497 /1 undetected,output,,N10497,N10497,1,undetected,N10497,N10497,N10497,sa1,1
5,N78483 /1 undetected,output,,N78483,N78483,1,undetected,N78483,N78483,N78483,sa1,1
6,N78271 /1 undetected,output,,N78271,N78271,1,undetected,N78271,N78271,N78271,sa1,1
7,N78272 /1 undetected,output,,N78272,N78272,1,undetected,N78272,N78272,N78272,sa1,1
8,N32116 /1 undetected,output,,N32116,N32116,1,undetected,N32116,N32116,N32116,sa1,1
9,N8580 /1 undetected,output,,N8580,N8580,1,undetected,N8580,N8580,N8580,sa1,1
10,N8579 /1 undetected,output,,N8579,N8579,1,undetected,N8579,N8579,N8579,sa1,1
11,N24025 /1 undetected,output,,N24025,N24025,1,undetected,N24025,N24025,N24025,sa1,1
12,N60260 /1 undetected,output,,N60260,N60260,1,undetected,N60260,N60260,N60260,sa1,1
13,N87565 /1 undetected,output,,N87565,N87565,1,undetected,N87565,N87565,N87565,sa1,1
14,N24024 /1 undetected,output,,N24024,N24024,1,undetected,N24024,N24024,N24024,sa1,1
15,N24016 /1 undetected,output,,N24016,N24016,1,undetected,N24016,N24016,N24016,sa1,1
16,N87624 /1 undetected,output,,N87624,N87624,1,undetected,N87624,N87624,N87624,sa1,1
17,N87563 /1 undetected,output,,N87563,N87563,1,undetected,N87563,N87563,N87563,sa1,1
18,N9310 /1 undetected,output,,N9310,N9310,1,undetected,N9310,N9310,N9310,sa1,1
19,__tpi_not_test_en->__tpi_cp_58_N71508 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_58_N71508,__tpi_cp_58_N71508,1,undetected,__tpi_cp_58_N71508,__tpi_cp_58_N71508,__tpi_cp_58_N71508,sa1,1
20,__tpi_cp_58_N71508 /1 undetected,output,,__tpi_cp_58_N71508,__tpi_cp_58_N71508,1,undetected,__tpi_cp_58_N71508,__tpi_cp_58_N71508,__tpi_cp_58_N71508,sa1,1
21,N71508 /1 undetected,output,,N71508,N71508,1,undetected,N71508,N71508,N71508,sa1,1
22,N7574 /1 undetected,output,,N7574,N7574,1,undetected,N7574,N7574,N7574,sa1,1
23,N5365 /1 undetected,output,,N5365,N5365,1,undetected,N5365,N5365,N5365,sa1,1
24,N31179 /1 undetected,output,,N31179,N31179,1,undetected,N31179,N31179,N31179,sa1,1
25,N5499 /1 undetected,output,,N5499,N5499,1,undetected,N5499,N5499,N5499,sa1,1
26,N5498 /1 undetected,output,,N5498,N5498,1,undetected,N5498,N5498,N5498,sa1,1
27,N18353 /1 undetected,output,,N18353,N18353,1,undetected,N18353,N18353,N18353,sa1,1
28,N59127 /1 undetected,output,,N59127,N59127,1,undetected,N59127,N59127,N59127,sa1,1
29,N83739 /1 undetected,output,,N83739,N83739,1,undetected,N83739,N83739,N83739,sa1,1
30,N18352 /1 undetected,output,,N18352,N18352,1,undetected,N18352,N18352,N18352,sa1,1
31,N18346 /1 undetected,output,,N18346,N18346,1,undetected,N18346,N18346,N18346,sa1,1
32,N83810 /1 undetected,output,,N83810,N83810,1,undetected,N83810,N83810,N83810,sa1,1
33,N83737 /1 undetected,output,,N83737,N83737,1,undetected,N83737,N83737,N83737,sa1,1
34,N6272 /1 undetected,output,,N6272,N6272,1,undetected,N6272,N6272,N6272,sa1,1
35,N67674 /1 undetected,output,,N67674,N67674,1,undetected,N67674,N67674,N67674,sa1,1
36,N3068 /1 undetected,output,,N3068,N3068,1,undetected,N3068,N3068,N3068,sa1,1
37,N61858 /1 undetected,output,,N61858,N61858,1,undetected,N61858,N61858,N61858,sa1,1
38,N30329 /1 undetected,output,,N30329,N30329,1,undetected,N30329,N30329,N30329,sa1,1
39,N2296 /1 undetected,output,,N2296,N2296,1,undetected,N2296,N2296,N2296,sa1,1
